social_sustainability,economic_sustainability,overall_sustainability,final_farmers_pct,mean_displacement_rate,land_appreciation_pct,final_gini,production_retention_pct,mean_volatility,regime,protection_index,regime_abm1,policy_scenario,replication
61.67704052449957,51.54166394530428,41.60935223490192,40.0,2.3166666666666673,1323.5690618534156,0.38139797377502127,40.68221043989762,0.03656101153273857,moderate,0.54,MODERATE,moderate_protection,23
60.232677061722995,50.913302994699976,40.572990028211485,40.0,2.3000000000000007,1345.4375157000986,0.4538661469138503,39.12229212350023,0.03678069273500597,moderate,0.54,MODERATE,moderate_protection,24
63.468597026015,52.06799861458869,42.76829782030184,40.0,2.3833333333333333,1367.3223270838998,0.2908201486992501,42.01984876468069,0.036997044564179835,moderate,0.54,MODERATE,moderate_protection,25
63.16738778006851,49.67659782299724,41.42199280153287,40.0,2.2083333333333335,1388.6817281315134,0.3085056109965747,36.04898234754439,0.03714975580102638,moderate,0.54,MODERATE,moderate_protection,26
62.774656376082675,49.74358047889451,41.25911842748859,40.0,2.616666666666667,1417.3900311175887,0.32201718119586586,36.230969760100166,0.03744037125727817,moderate,0.54,MODERATE,moderate_protection,27
61.56301964557179,51.27148617724376,41.41725291140777,40.0,2.2250000000000005,1345.6610293806746,0.3884740177214103,40.01794089310867,0.036784508999985956,moderate,0.54,MODERATE,moderate_protection,28
63.40197576947719,47.14358645122293,40.27278111035006,40.0,2.3083333333333336,1324.378224462356,0.2952762115261405,29.68706784635213,0.036562034365896334,moderate,0.54,MODERATE,moderate_protection,29
68.17140243775991,57.147903146523035,47.65965279214147,50.0,1.8083333333333333,1137.7161312632873,0.3143048781120046,44.603552614606514,0.0346758949659789,moderate,0.64,MODERATE,strong_protection,0
69.33240498700538,61.33069624104871,50.33155061402704,50.0,2.0666666666666664,1115.386290506996,0.2523797506497307,55.04559019240668,0.034376991795698,moderate,0.64,MODERATE,strong_protection,1
68.95858942693184,58.84927531023777,48.903932368584805,50.0,1.9416666666666669,1127.0054859284414,0.27294552865340793,48.85001700348192,0.03453657455775017,moderate,0.64,MODERATE,strong_protection,2
66.41041168356031,57.720953254937655,47.06568246924898,50.0,2.0333333333333337,1147.6530536348362,0.3989794158219848,46.04095492872167,0.03477143582755095,moderate,0.64,MODERATE,strong_protection,3
67.15322673541037,58.727129742939354,47.94017823917486,50.0,1.7750000000000001,1127.14325013317,0.36571366322948173,48.544213635161206,0.03452778555625632,moderate,0.64,MODERATE,strong_protection,4
67.78639139219761,56.20702924841187,46.99671032030474,50.0,1.966666666666667,1104.371830889189,0.33118043039011913,42.231310482677685,0.03427474723296007,moderate,0.64,MODERATE,strong_protection,5
66.05154385788647,57.80065645219508,46.92610015504077,50.0,2.041666666666667,1142.3263726459943,0.4167978071056766,46.236746386965514,0.034702105129556585,moderate,0.64,MODERATE,strong_protection,6
66.39851751475746,62.04283275955616,49.2206751371568,50.0,2.166666666666667,1141.1477109617435,0.3975741242621269,56.841832243482095,0.03469500689183401,moderate,0.64,MODERATE,strong_protection,7
67.79881052498865,59.853168778655345,48.825989651822,50.0,2.066666666666667,1137.8879563328135,0.32905947375056677,51.365990199663905,0.034661365060510936,moderate,0.64,MODERATE,strong_protection,8
67.42495329289532,60.54525910895849,48.98510620092691,50.0,1.8916666666666673,1138.655797489932,0.35037733535523374,53.09690639459683,0.03467517244401193,moderate,0.64,MODERATE,strong_protection,9
67.82670459114162,59.672158704194985,48.7494316476683,50.0,2.1916666666666673,1132.435481941338,0.3257897704429189,50.909585345112994,0.0345837716925107,moderate,0.64,MODERATE,strong_protection,10
68.39494822698092,59.93460198827705,49.164775107628984,50.0,1.9333333333333333,1139.6518943606727,0.3012525886509545,51.570010319975815,0.03467010698566328,moderate,0.64,MODERATE,strong_protection,11
67.61874415867568,57.34469038331037,47.48171727099303,50.0,2.183333333333333,1114.5391854305105,0.33631279206621567,45.0816013412181,0.03439750765884333,moderate,0.64,MODERATE,strong_protection,12
66.19757517504505,58.86555663003704,47.53156590254105,50.0,2.1000000000000005,1151.9080823198756,0.4086212412477477,48.90452626674027,0.03481269383295323,moderate,0.64,MODERATE,strong_protection,13
66.96643328255581,60.141610768303835,48.55402202542982,50.0,1.8416666666666668,1130.618163212227,0.37405333587220935,52.08313963985983,0.03458225438200465,moderate,0.64,MODERATE,strong_protection,14
67.45514896802366,58.259626252925564,47.85738761047462,50.0,1.966666666666667,1179.7527082246033,0.34774255159881684,47.40602493717397,0.035139186097201194,moderate,0.64,MODERATE,strong_protection,15
67.34220052426214,59.08677837763898,48.21448945095056,50.0,2.1500000000000004,1116.508334951339,0.3506399737868928,49.43727254174289,0.03440653195290899,moderate,0.64,MODERATE,strong_protection,16
66.59840286853287,57.89975452588952,47.249078697211196,50.0,1.8916666666666673,1113.1218136313496,0.39170485657335674,46.46840104414227,0.03438029458836936,moderate,0.64,MODERATE,strong_protection,17
67.8601750807635,59.08345012813449,48.47181260444899,50.0,2.1083333333333334,1146.7825585630835,0.32536624596182495,49.446984905202015,0.0347671916973161,moderate,0.64,MODERATE,strong_protection,18
66.9487861427992,60.448168946367645,48.69847754458342,50.0,1.7833333333333332,1096.3697255870738,0.3758106928600402,52.829760539369616,0.03418676346901058,moderate,0.64,MODERATE,strong_protection,19
